destination_code,destination_sub_district,destination_district,origin_district,species_type,number,weekly_volume
M-JKT-051,MATRAMAN,JAKARTA TIMUR,CIAMIS,BR,2500,17500
M-JKT-066,MATRAMAN,JAKARTA TIMUR,BANDUNG,BR,9000,36000
M-JKT-066,MATRAMAN,JAKARTA TIMUR,KOTA BANDAR LAMPUNG,BR,9000,18000
M-JKT-066,MATRAMAN,JAKARTA TIMUR,WONOGIRI,BR,9000,9000
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,BANYUMAS,LA,500,1000
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,SEMARANG,LA,500,500
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,KOTA PALEMBANG,LA,500,500
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,,,,
M-JKT-060,MATRAMAN,JAKARTA TIMUR,CIAMIS,BR,3000,15000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,TASIKMALAYA,BR,3000,15000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,CIAMIS,BR,3000,21000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,CIAMIS,BR,3000,21000
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,TANGGAMUS,BR,1000,7000
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,SERANG,BR,500,3500
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,SUBANG,LA,1000,7000
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,LAMPUNG SELATAN,LA,1500,10500
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUKABUMI,BR,1100,5500
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUKABUMI,LA,100,200
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUBANG,BR,1400,1400
M-JKT-051,MATRAMAN,JAKARTA TIMUR,TASIKMALAYA,BR,2500,7500
M-JKT-051,MATRAMAN,JAKARTA TIMUR,SUKABUMI,LA,600,1200
M-JKT-051,MATRAMAN,JAKARTA TIMUR,SUBANG,LA,600,1200
M-JKT-051,MATRAMAN,JAKARTA TIMUR,JOMBANG,LA,600,600
M-JKT-051,MATRAMAN,JAKARTA TIMUR,MALANG,LA,600,600
M-JKT-051,MATRAMAN,JAKARTA TIMUR,KOTA BANDAR LAMPUNG,LA,600,600
M-JKT-051,MATRAMAN,JAKARTA TIMUR,TASIKMALAYA,BR,2000,12000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,BEKASI,BR,2500,17500
M-JKT-060,MATRAMAN,JAKARTA TIMUR,SERANG,BR,2000,14000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,BOGOR,BR,2000,14000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,BANDUNG,BR,2500,17500
M-JKT-060,MATRAMAN,JAKARTA TIMUR,SEMARANG,BR,2000,14000
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,SUKABUMI,BR,1000,4000
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,BOGOR,BR,,0
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,TANGERANG,LA,350,2450
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,BOGOR,BR,1500,10500
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,TANGERANG,BR,200,1400
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,SUKABUMI,BR,300,2100
M-JKT-189,MATRAMAN,JAKARTA TIMUR,BOGOR,BR,3000,9000
M-JKT-189,MATRAMAN,JAKARTA TIMUR,CIAMIS,BR,3000,3000
M-JKT-189,MATRAMAN,JAKARTA TIMUR,TASIKMALAYA,BR,3000,3000
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUKABUMI,BR,3800,26600
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,CIANJUR,BR,2200,15400
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SERANG,LA,1800,1800
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUKABUMI,LA,700,700
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUBANG,LA,700,700
