origin_code,origin_sub_district,origin_district,destination_code,destination_sub_district,destination_district,species_type,number,weekly_volume
M-JKT-051,MATRAMAN,JAKARTA TIMUR,,JATINEGARA,,BR,600,4200
M-JKT-051,MATRAMAN,JAKARTA TIMUR,,KRAMAT JATI,,BR,600,4200
M-JKT-051,MATRAMAN,JAKARTA TIMUR,,PONDOKGEDE,,BR,600,4200
M-JKT-051,MATRAMAN,JAKARTA TIMUR,,MATRAMAN,,BR,700,4900
M-JKT-066,MATRAMAN,JAKARTA TIMUR,,TANJUNG PRIOK,,BR,2000,14000
M-JKT-066,MATRAMAN,JAKARTA TIMUR,,KEBAYORAN BARU,,BR,1500,10500
M-JKT-066,MATRAMAN,JAKARTA TIMUR,,SETIA BUDI,,BR,1500,10500
M-JKT-066,MATRAMAN,JAKARTA TIMUR,,MATRAMAN,,BR,3000,21000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,,MATRAMAN,,BR,1000,7000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,,SUKMA JAYA,,BR,1000,7000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,,SETU,,BR,1500,10500
M-JKT-060,MATRAMAN,JAKARTA TIMUR,,CIPUTAT,,BR,1500,10500
M-JKT-060,MATRAMAN,JAKARTA TIMUR,,PULO GADUNG,,BR,1000,7000
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKU-030,PADEMANGAN,,BR,60,420
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKS-036,KEBAYORAN LAMA,,LA,300,2100
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKT-118,CIRACAS,,LA,200,1400
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKT-113,KRAMAT JATI,,LA,150,1050
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKP-019,SENEN,,BR,400,2800
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKB-028,KEBON JERUK,,LA,120,840
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKB-034,CENGKARENG,,LA,1000,7000
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKB-018,TAMBORA,,LA,400,2800
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKP-001,GAMBIR,,LA,60,420
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKT-120,PULO GADUNG,,BR,30,210
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKT-120,PULO GADUNG,,LA,20,140
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,M-JKS-034,CILANDAK,,BR,300,2100
M-JKP-005,JOHAR BARU,JAKARTA PUSAT,,TANAH ABANG,,BR,200,1400
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKP-003,CEMPAKA PUTIH,,BR,50,350
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKP-012,JOHAR BARU,,BR,50,350
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,,CEMPAKA PUTIH,,BR,30,210
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKP-011,JOHAR BARU,,BR,100,700
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKP-023,KEMAYORAN,,BR,100,700
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,,KEMAYORAN,,BR,100,700
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,,JOHAR BARU,,BR,200,1400
M-JKT-051,MATRAMAN,JAKARTA TIMUR,,TEBET,,BR,400,400
M-JKT-051,MATRAMAN,JAKARTA TIMUR,M-JKT-093,JATINEGARA,,BR,300,300
M-JKT-051,MATRAMAN,JAKARTA TIMUR,,KEMAYORAN,,BR,100,100
M-JKT-051,MATRAMAN,JAKARTA TIMUR,,MATRAMAN,,BR,300,300
M-JKT-051,MATRAMAN,JAKARTA TIMUR,,JATINEGARA,,LA,125,125
M-JKT-051,MATRAMAN,JAKARTA TIMUR,,TEBET,,LA,30,30
M-JKT-051,MATRAMAN,JAKARTA TIMUR,M-JKU-028,TANJUNG PRIOK,,LA,200,200
M-JKT-051,MATRAMAN,JAKARTA TIMUR,M-JKU-012,TANJUNG PRIOK,,LA,200,200
